speed_before,speed_after
32.6,63.5
35.3,56.9
40.2,54.1
41.9,
44.2,60.3
46,56.1
46.3,56.6
47.5,56.9
48.3,59.8
48.3,56.7
48.3,59
48.3,62.5
48.3,58.9
49.1,62.2
49.1,55.4
49.1,
49.4,56.5
49.5,64.4
49.5,59.5
49.5,64.3
49.5,
49.7,56.2
49.7,60.3
49.9,62
49.9,61
49.9,61.5
49.9,62
49.9,
49.9,62
50,56.8
50,61.5
50.1,61
50.5,57.3
50.6,62.8
50.6,59.7
50.7,63.4
50.7,62.5
50.7,
50.8,61.8
50.8,59.3
50.8,57.3
50.9,57.1
50.9,64.1
51,65.5
51.1,53.6
51.1,56.3
51.1,
51.2,57.2
51.5,59.8
51.6,66.9
51.6,
51.7,56.2
51.8,66
51.8,57.1
51.8,
51.8,
51.9,67
51.9,57.7
51.9,55.4
52,63.8
52,67.6
52,57.4
52,58.6
52.1,58.8
52.2,58.8
52.2,59.1
52.3,63.6
52.3,
52.4,59.1
52.5,68.1
52.6,61.4
52.6,66.4
52.6,64.7
52.6,
52.7,68.8
52.7,55.9
52.8,61
52.8,59.4
52.8,61.4
52.9,60.7
52.9,
52.9,58.8
52.9,65.7
53,58
53,55.9
53,58.3
53,
53.1,63.3
53.1,57.8
53.1,
53.1,
53.2,59.1
53.2,59.5
53.2,
53.3,63.8
53.3,67.3
53.3,58
53.3,
53.4,58.9
53.4,67.5
53.4,66.5
53.4,59.6
53.4,62.6
53.4,
53.4,
53.5,61.4
53.5,55.7
53.5,57.4
53.5,
53.5,
53.6,56.9
53.6,
53.7,57.5
53.7,62.3
53.7,58.8
53.7,59
53.8,59.8
53.8,57.1
53.8,66.5
53.8,66
53.8,58.4
53.8,
53.8,61
53.9,62.2
53.9,67.8
53.9,54.4
53.9,57
53.9,62.5
53.9,56.3
53.9,
53.9,
54,60.8
54,57.4
54,58.4
54.1,62
54.1,
54.2,63.7
54.2,63.9
54.2,58.5
54.2,57.8
54.3,60.6
54.3,58.5
54.4,58.4
54.4,59.6
54.5,63
54.5,57.4
54.5,
54.6,66.3
54.6,54.7
54.6,59.2
54.6,63.6
54.6,64.6
54.7,59
54.7,57.6
54.8,65.7
54.8,61.5
54.8,56.1
54.8,63
54.8,55.2
54.8,72.2
54.8,
54.8,
54.9,64.6
54.9,62.4
54.9,61.9
54.9,59.4
54.9,59.4
54.9,55.8
54.9,56
55,66.4
55,68.1
54,66.7
54,57.1
54,
55,
55.1,59.7
55.1,59.5
55.1,56.9
55.1,
55.1,
55.1,
55.2,58.4
55.2,58.3
55.2,55.4
55.2,59.6
55.2,59.7
55.2,62.3
55.2,58.9
55.2,
55.2,
55.2,60
55.2,
55.2,59.5
55.2,60
55.3,58.2
55.3,60.8
55.3,56.2
55.3,
55.3,
55.4,64.4
55.4,
55.5,68.8
55.5,57.3
55.5,60.2
55.5,63.1
55.5,58.5
55.6,56.8
55.6,68.5
55.7,58.4
55.7,70.9
55.7,55.9
55.7,67.8
55.7,57.4
55.7,
55.7,
55.8,56.7
55.8,63
55.8,56.4
55.8,59.5
55.8,56.3
55.8,63.1
55.8,59.3
55.8,
55.8,
55.9,58.1
55.9,56.6
55.9,57.4
55.9,66
55.9,57.7
55.9,57.4
55.9,
56,63
56,56.8
56,65.7
56,57.7
56,
56.1,58.7
56.1,62
56.1,
56.2,
56.2,
56.2,
56.2,
56.3,57.9
56.3,56
56.3,55.8
56.3,56.2
56.3,55.6
56.3,
56.4,59.7
56.4,59.1
56.4,59.6
56.4,55.8
56.4,57.8
56.4,60.1
56.4,53.6
56.4,64.5
56.4,59.3
56.4,
56.4,
56.5,64.2
56.5,63.2
56.5,67.4
56.5,
56.5,
56.5,
56.6,52.5
56.6,57.4
56.6,53.4
56.6,57.6
56.6,56.7
56.6,60.2
56.6,54.1
56.6,
56.6,
56.6,
56.7,61.8
56.7,54.3
56.7,57.5
56.7,53.7
56.7,
56.7,
56.8,55.7
56.8,62.7
56.8,58.4
56.8,52.7
56.8,
56.8,
56.8,
56.8,
56.8,
56.9,63.6
56.9,63.7
56.9,59.3
56.9,59.4
56.9,55.4
56.9,
56.9,
56.9,
57,65.2
57,66.7
57,61.7
57,57.9
57,56.4
57,56.8
57,
57,
57,
57,
57,
57,
57.1,65.7
57.1,63.7
57.1,57.2
57.1,60.7
57.2,55.3
57.2,63.8
57.2,67.3
57.3,62.8
57.3,63.5
57.3,61.4
57.3,57
57.3,65.5
57.3,61.8
57.3,57
57.3,54.4
57.3,57.3
57.3,
57.3,
57.4,59.3
57.4,57.4
57.4,60.4
57.4,58.1
57.4,58.3
57.4,
57.4,
57.4,
57.4,
57.5,52.4
57.5,57.8
57.5,57.9
57.5,52.4
57.5,57.4
57.5,54.3
57.5,
57.5,
57.5,
57.5,
57.5,
57.6,69.6
57.6,58.1
57.6,60.3
57.6,72.5
57.6,57.3
57.6,
57.6,
57.6,
57.6,
57.6,
57.7,70.4
57.7,56.8
57.7,66.2
57.7,59
57.7,61.5
57.7,57.4
57.7,
57.7,
57.7,
57.7,
57.7,
57.8,60.6
57.8,66.4
57.8,66.3
57.8,58.3
57.8,54.8
57.8,63.2
57.8,
57.8,
57.9,51.3
57.9,58.8
57.9,59.6
57.9,58.1
57.9,
57.9,
57.9,
58,57
58,58.5
58,57.9
58,59.3
58,57.8
58,
58,
58,
58.1,60.2
58.1,58
58.1,57
58.1,57.2
58.1,54.7
58.1,60.7
58.1,66
58.1,58.8
58.1,55.8
58.1,
58.1,
58.1,
58.1,
58.2,60.2
58.2,66.7
58.2,62.5
58.2,61.6
58.2,
58.2,
58.3,60.2
58.3,58.7
58.3,63.9
58.3,59.3
58.3,60.3
58.3,61
58.3,57
58.3,60.3
58.3,63.8
58.3,60.4
58.3,56.6
58.3,62.6
58.3,
58.3,
58.3,
58.3,
58.4,58.4
58.4,61.8
58.4,61.9
58.4,54.4
58.4,
58.4,
58.4,
58.4,
58.4,
58.4,
58.4,
58.5,58.1
58.5,57.5
58.5,60.4
58.5,63.8
58.5,62.3
58.5,68.7
58.5,67.3
58.5,62
58.5,64.4
58.5,59.5
58.5,
58.5,
58.5,
58.5,
58.6,67.7
58.6,57.6
58.6,58.4
58.6,59.3
58.6,
58.7,64.6
58.7,56.3
58.7,61.4
58.7,60.9
58.7,52.8
58.7,59.5
58.7,59.5
58.7,58.7
58.7,
58.7,
58.8,60.8
58.8,65.1
58.8,60.8
58.8,56.7
58.8,
58.8,
58.8,
58.8,
58.8,
58.9,62.1
58.9,63.8
58.9,57.1
58.9,58.9
58.9,57
58.9,
59,60.6
59,60.2
59,55.4
59,57.6
59,57.9
59,55
59,68.6
59,61
59,61.8
59,
59,
59,
59.1,56
59.1,59.3
59.1,55.6
59.1,60.8
59.1,61.7
59.1,62.2
59.1,56.1
59.1,61.6
59.1,62.9
59.1,
59.2,69.8
59.2,64.6
59.2,56.2
59.2,57.8
59.2,70.2
59.2,68.3
59.2,58.3
59.2,
59.2,
59.2,
59.3,65.6
59.3,67.2
59.3,56.2
59.3,58.8
59.3,56.9
59.3,59.6
59.3,
59.4,67.3
59.4,71.8
59.4,64.6
59.4,56.3
59.4,53.1
59.4,61.9
59.4,60.3
59.5,56.5
59.5,53.9
59.5,57.1
59.5,63
59.6,56.9
59.6,55.5
59.6,57.9
59.6,55.1
59.6,70.6
59.6,68.6
59.6,
59.6,
59.6,
59.7,55.5
59.7,66.9
59.7,59.5
59.7,56.2
59.7,
59.8,57.2
59.8,56.1
59.8,58.9
59.8,60.3
59.8,57.1
59.8,
59.8,
59.8,
59.9,56.6
59.9,61.5
59.9,57.9
60,60.6
60,55.8
60,68.7
60,58.7
60,66.7
60,70.9
60,57.3
60,
60.1,58.6
60.1,59.4
60.1,65.5
60.1,66.4
60.2,68.9
60.2,60.2
60.2,70.6
60.3,57.1
60.3,69.7
60.3,60.1
60.3,67
60.3,67.4
60.3,60
60.3,45.6
60.4,57.4
60.4,57.8
60.5,62.7
60.5,59.2
60.5,63.5
60.5,54.3
60.6,67.3
60.6,55.8
60.6,64.1
60.6,61.9
60.6,59.4
60.7,60.6
60.7,57.4
60.7,59.9
60.7,64
60.7,58.9
60.8,65.9
60.9,63.8
61,65.1
61,66.8
61,67.4
61,54.9
61,56.6
61.1,59.5
61.1,63.7
61.2,59.2
61.2,60.2
61.2,57.6
61.2,59
61.2,58.8
61.2,70.3
61.3,58.8
61.3,57.3
61.3,61.8
61.3,69.5
61.3,71
61.4,60.1
61.4,56.4
61.5,63.9
61.5,
61.6,58.3
61.6,69
61.6,51.7
61.6,
61.6,
61.7,60.5
61.7,57
61.7,64.2
61.7,62.2
61.7,58.7
61.7,68.8
61.7,58.2
61.7,
61.8,56.6
61.8,63.7
61.8,69.8
61.8,70.1
61.8,66.5
61.8,
61.9,58.6
61.9,65.9
61.9,70.2
62,56.3
62,60.2
62,
62,
62.1,68.9
62.1,70
62.1,69
62.1,
62.1,70
62.2,67.7
62.2,66.9
62.2,56.6
62.2,69.1
62.3,59.9
62.3,57.8
62.3,
62.4,68.7
62.4,64.6
62.4,57.5
62.4,
62.5,54.1
62.5,68.2
62.5,58
62.5,68.2
62.5,
62.6,57.1
62.6,59.7
62.7,55.1
62.7,56.8
62.7,
62.8,53.4
62.8,66.8
62.8,57.2
62.8,62.4
62.8,61.6
62.8,52.6
62.9,61.5
62.9,
62.9,
62.9,
62.9,
63,67.7
63,58.3
63,56.6
63,60.6
63,
63,
63.1,53.6
63.1,59
63.1,56.7
63.1,
63.1,
63.1,
63.1,
63.2,55.6
63.2,
63.2,
63.3,59.9
63.3,
63.3,
63.4,59.3
63.4,57.3
63.4,
63.5,64.3
63.5,65.7
63.5,
63.6,67.6
63.6,71.5
63.6,58.5
63.6,
63.7,58.7
63.7,
63.7,
63.7,
63.8,58.7
63.8,
63.9,59.6
63.9,53.3
63.9,58.1
63.9,
64,
64.1,58.1
64.1,61
64.1,
64.2,55.3
64.2,67.1
64.2,
64.3,65.7
64.3,59.2
64.3,58.4
64.4,68.3
64.4,67.8
64.4,
64.6,
64.7,60.7
64.8,55.3
64.9,59.1
64.9,60.2
64.9,
65,58.5
65.1,58.1
65.3,59
65.4,59.1
65.4,59.6
65.8,59.7
66,68.5
66,60.1
66.2,69.9
67.1,66.7
68,62.6
68,65
69.4,58.5
69.5,56.8
69.7,70
69.8,71
69.8,68
70,60
70,75
70.1,74.2
70.2,
70,75
70,
